	countryCode	sourceTaxonID	scientificName	name	name_uninomial	name_specific_epithet	name_infra_specific_epithet	name_authorship	taxonKey	occCount	occCountNL	occCountNLspecimen	occCountNLobservation	occCountNLsince2000	occCountNLsince1950
138	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCJJUPZ	Acasis viretata (H™bner, 1799)	Acasis viretata 	Acasis	viretata		(H™bner, 1799)	1968214	8141	53	0	0	0	0
139	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI00838	Acaudinum centaureae (Koch, 1854)	Acaudinum centaureae 	Acaudinum	centaureae		(Koch, 1854)	2070055	1	0	0	0	0	0
140	NL	http://www.nederlandsesoorten.nl/nsr/concept/000486740932	Acaulon muticum (Hedw.) M™ll. Hal.	Acaulon muticum 	Acaulon	muticum		(Hedw.) M™ll. Hal.	5280933	469	3	0	0	0	0
141	NL	http://www.nederlandsesoorten.nl/nsr/concept/000464941632	Accipiter gentilis (Linnaeus, 1758)	Accipiter gentilis 	Accipiter	gentilis		(Linnaeus, 1758)	2480589	181962	107	0	0	0	0
262	NL	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFASDYSF	Acia membranacea	Acia membranacea 	Acia	membranacea			5244601	481	0	0	0	0	0
263	NL	http://www.nederlandsesoorten.nl/nsr/concept/000486764001	Acicula fusca (Montagu, 1803)	Acicula fusca 	Acicula	fusca		(Montagu, 1803)	5778127	1640	0	0	0	0	0
264	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNUBGV	Acidia cognata (Wiedemann, 1817)	Acidia cognata 	Acidia	cognata		(Wiedemann, 1817)	1626224	168	9	0	0	0	0
265	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBWSUZA	Acidota crenata (Fabricius, 1793)	Acidota crenata 	Acidota	crenata		(Fabricius, 1793)	4444221	1637	71	0	0	0	0
266	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBWSVVH	Acidota cruentata Mannerheim, 1830	Acidota cruentata 	Acidota	cruentata		Mannerheim, 1830	4444215	192	0	0	0	0	0
267	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBTYSFS	Acilius canaliculatus (Nicolai, 1822)	Acilius canaliculatus 	Acilius	canaliculatus		(Nicolai, 1822)	4470284	1749	299	0	0	0	0
268	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBTYTGK	Acilius sulcatus (Linnaeus, 1758)	Acilius sulcatus 	Acilius	sulcatus		(Linnaeus, 1758)	4470286	3345	327	0	0	0	0
269	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCRHFZB	Acinetospora crinita (Carmichael ex Harvey) Kornmann	Acinetospora crinita 	Acinetospora	crinita		(Carmichael ex Harvey) Kornmann	3199739	369	3	0	0	0	0
270	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBNUCZI	Acinia corniculata (Zetterstedt, 1819)	Acinia corniculata 	Acinia	corniculata		(Zetterstedt, 1819)	1621396	78	0	0	0	0	0
271	NL	http://www.nederlandsesoorten.nl/nsr/concept/0IY9670S4IWB	Acipenser baerii Brandt, 1869	Acipenser baerii 	Acipenser	baerii		Brandt, 1869	4287131	36	0	0	0	0	0
272	NL	http://www.nederlandsesoorten.nl/nsr/concept/0460231E4C31	Acipenser gueldenstaedtii	Acipenser gueldenstaedtii 	Acipenser	gueldenstaedtii			2402129	27	1	0	0	0	0
273	NL	http://www.nederlandsesoorten.nl/nsr/concept/00B60EBE4E4C	Acipenser ruthenus Linnaeus, 1758	Acipenser ruthenus 	Acipenser	ruthenus		Linnaeus, 1758	2402168	26	0	0	0	0	0
274	NL	http://www.nederlandsesoorten.nl/nsr/concept/0F0807844E85	Acipenser stellatus Pallas, 1771	Acipenser stellatus 	Acipenser	stellatus		Pallas, 1771	2402159	21	0	0	0	0	0
275	NL	http://www.nederlandsesoorten.nl/nsr/concept/000455863821	Acipenser sturio Linnaeus, 1758	Acipenser sturio 	Acipenser	sturio		Linnaeus, 1758	2402194	228	12	0	0	0	0
276	NL	http://www.nederlandsesoorten.nl/nsr/concept/0F81D1E3419E	Acizza uncatoides	Acizza uncatoides 	Acizza	uncatoides			1102604	9	0	0	0	0	0
277	NL	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFASBATA	Acladium pallidum Harz	Acladium pallidum 	Acladium	pallidum		Harz	3367483	0	0	0	0	0	0
18111	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCEAFVR	Hippocrepis comosa L.	Hippocrepis comosa 	Hippocrepis	comosa		L.	5353750	0	0	0	0	0	0
18112	NL	http://www.nederlandsesoorten.nl/nsr/concept/0F6D081F4FFB	Hippodamia convergens (Gu_rin-M_neville, 1842)	Hippodamia convergens 	Hippodamia	convergens		(Gu_rin-M_neville, 1842)	4989894	0	0	0	0	0	0
